NO,FEATURE CODE,FEATURE NAME,NAME,TYPE,STATE,LAT,LONG
238,BJ0330,Petrol Station,PETRONAS Cheras Perdana,PETRONAS,Selangor,3.04737,101.768
239,BJ0330,Petrol Station,CALTEX Serdang Raya,CALTEX,Selangor,3.0474,101.704
240,BJ0330,Petrol Station,MOBIL Expressway-E37 (South),MOBIL,Selangor,3.04744,101.706
241,BJ0330,Petrol Station,"SHELL Seksyen 17, Shah Alam",SHELL,Selangor,3.04731,101.506
242,BJ0330,Petrol Station,PETRONAS USJ 1,PETRONAS,Selangor,3.04776,101.602
243,BJ0330,Petrol Station,SHELL Jalan Batu Tiga Lama,SHELL,Selangor,3.04767,101.451
244,BJ0330,Petrol Station,PETRONAS Kesas (E),PETRONAS,Selangor,3.04804,101.561
245,BJ0330,Petrol Station,ESSO Jalan Batu Tiga Lama,PETRON,Selangor,3.04821,101.452
246,BJ0330,Petrol Station,SHELL Kesas (W),SHELL,Selangor,3.04879,101.562
247,BJ0330,Petrol Station,PETRONAS Bandar Tun Hussein Onn,PETRONAS,Selangor,3.04931,101.763
248,BJ0330,Petrol Station,SHELL Kinrara,SHELL,Selangor,3.0492,101.633
249,BJ0330,Petrol Station,SHELL Persiaran Sultan Ibrahim (W),SHELL,Selangor,3.04875,101.452
250,BJ0330,Petrol Station,ESSO Kesas (E),PETRON,Selangor,3.04909,101.562
251,BJ0330,Petrol Station,PETRONAS Jalan Batu Tiga Lama,PETRONAS,Selangor,3.04905,101.455
252,BJ0330,Petrol Station,SHELL Persiaran Sultan Ibrahim (E),SHELL,Selangor,3.04924,101.452
253,BJ0330,Petrol Station,BHP Persiaran Sultan Ibrahim,BHP,Selangor,3.04924,101.451
254,BJ0330,Petrol Station,SHELL Bk2,SHELL,Selangor,3.04978,101.641
255,BJ0330,Petrol Station,ESSO Kesas (W),PETRON,Selangor,3.04965,101.563
256,BJ0330,Petrol Station,SHELL Kesas (E),SHELL,Selangor,3.04982,101.562
257,BJ0330,Petrol Station,SHELL,SHELL,Selangor,3.05042,101.787
258,BJ0330,Petrol Station,PETRONAS Puchong Jaya,PETRONAS,Selangor,3.05025,101.629
259,BJ0330,Petrol Station,PETRONAS Kesas (W),PETRONAS,Selangor,3.05034,101.563
260,BJ0330,Petrol Station,PETRONAS,PETRONAS,Selangor,3.05117,101.787
261,BJ0330,Petrol Station,"SHELL Seksyen 19, Shah Alam",SHELL,Selangor,3.05081,101.535
262,BJ0330,Petrol Station,SHELL USJ 6,SHELL,Selangor,3.05109,101.583
263,BJ0330,Petrol Station,PETRONAS USJ  6,PETRONAS,Selangor,3.05139,101.584
264,BJ0330,Petrol Station,SHELL Puchong Jaya,SHELL,Selangor,3.05287,101.623
265,BJ0330,Petrol Station,ESSO Jalan Kapar,PETRON,Selangor,3.05267,101.447
266,BJ0330,Petrol Station,PETRONAS Puchong Jaya,PETRONAS,Selangor,3.05312,101.624
267,BJ0330,Petrol Station,SHELL Taman Eng Ann,SHELL,Selangor,3.05276,101.46
268,BJ0330,Petrol Station,PETRONAS Damai Perdana,PETRONAS,Selangor,3.05362,101.744
269,BJ0330,Petrol Station,PETRONAS Jalan Sungai Rasau,PETRONAS,Selangor,3.05312,101.47
270,BJ0330,Petrol Station,MOBIL Jalan Sungai Rasau,MOBIL,Selangor,3.0534,101.466
271,BJ0330,Petrol Station,CALTEX Bukit Jalil Indah,CALTEX,Selangor,3.05411,101.656
272,BJ0330,Petrol Station,PETRONAS Bandar Tun Hussein Onn,PETRONAS,Selangor,3.05508,101.758
273,BJ0330,Petrol Station,SHELL Jalan Kapar,SHELL,Selangor,3.05437,101.446
274,BJ0330,Petrol Station,BHP Jalan Kapar,BHP,Selangor,3.05482,101.446
275,BJ0330,Petrol Station,CALTEX Jalan Kapar,CALTEX,Selangor,3.05488,101.447
276,BJ0330,Petrol Station,SHELL USJ 7,SHELL,Selangor,3.0557,101.592
277,BJ0330,Petrol Station,SHELL USJ 4,SHELL,Selangor,3.05639,101.577
278,BJ0330,Petrol Station,PETRONAS USJ  4,PETRONAS,Selangor,3.05656,101.577
279,BJ0330,Petrol Station,BHP Taman Tenaga,BHP,Selangor,3.05682,101.63
280,BJ0330,Petrol Station,"PETRONAS Seksyen 20, Shah Alam",PETRONAS,Selangor,3.05682,101.542
281,BJ0330,Petrol Station,SHELL USJ 2,SHELL,Selangor,3.05722,101.591
282,BJ0330,Petrol Station,ESSO USJ 1,PETRON,Selangor,3.05761,101.601
283,BJ0330,Petrol Station,SHELL USJ 1,SHELL,Selangor,3.05763,101.601
284,BJ0330,Petrol Station,PETRONAS USJ  2,PETRONAS,Selangor,3.05761,101.591
285,BJ0330,Petrol Station,BHP Bukit Kuchai,BHP,Selangor,3.05774,101.638
